"86","2018-07-16 12:22:00","बंपर कमाई के बाद भी 'संजू' सलमान की 'बजरंगी भाईजान' सहित 6 फिल्मों से पीछे, 'बाहुबली-2' के के आसपास भी नहीं","मनोरंजन","entertainment","hi"
"88","2018-07-16 16:27:00","गरीब रथ का किराया होगा महंगा, बेडरोल, तकिया और कंबल का किराया भी आपकी टिकट में जुड़ेगा","भारत","india","hi"
"89","2018-07-15 15:11:00","इंग्लैंड के खिलाफ धोनी की धीमी पारी का कोहली ने किया बचाव, कहा- उन पर सवाल खड़े करना दुर्भाग्यपूर्ण","खेल","sports","hi"
"90","2018-07-16 11:33:00","वैक्स स्टैच्यू का मेजरमेंट देने के बाद सूरमा दिलजीत दोसांझ बोले- फाइनली ये दिन भी आ गया","मनोरंजन","entertainment","hi"
"92","2018-07-16 14:31:00","राहुल ने मोदी को लिखी चिट्ठी- संसद में महिला आरक्षण बिल लाएं, कांग्रेस बिना शर्त समर्थन देने को तैयार","भारत","india","hi"
"93","2018-07-15 15:05:00","विश्वकप फाइनल रात 8:30 बजे से: फ्रांस-क्रोएशिया को यहां तक लाने में उसके 5-5 खिलाड़ियों का अहम रोल","खेल","sports","hi"
"94","2018-07-16 11:32:00","तलाक पर सचिन ने तोड़ी चुप्पी कहा- जूही ने मुझे कभी प्यार ही नहीं किया, मैं एक लव लेस शादी का हिस्सा रहा","मनोरंजन","entertainment","hi"
"96","2018-07-16 14:12:00","भास्कर पड़ताल: 8 सबूत जिनसे शक कि झारखंड में व्यापारी परिवार के 6 लोगों की हत्या हुई","भारत","india","hi"
"98","2018-07-15 08:49:00","हिमा दास को टोक्यो ओलिंपिक तक आर्थिक मदद देगी सरकार, वर्ल्ड अंडर-20 एथलेटिक्स में जीता था गोल्ड","खेल","sports","hi"
"100","2018-07-16 11:29:00","65 की उम्र में शक्ति कपूर ने किया इंस्टाग्राम डेब्यू, फैन्स बोले- वेलकम क्राइम मास्टर गोगो","मनोरंजन","entertainment","hi"
