"2564","2018-07-16 18:55:00","वर्ल्ड कप के सबसे चर्चित खिलाड़ी एम्बाप्पे साढ़े तीन करोड़ रुपए की अपनी पूरी कमाई दान करेंगे","प्रमुख समाचार","latest","hi"
"2571","2018-07-16 14:31:00","राहुल ने मोदी को लिखी चिट्ठी- संसद में महिला आरक्षण बिल लाएं, कांग्रेस बिना शर्त समर्थन देने को तैयार","प्रमुख समाचार","latest","hi"
"2599","2018-06-30 16:08:10","मानसून: जब सड़क पर भरे पानी में चलानी पड़े गाड़ी या पानी में फंस जाए कार, तो करें ये उपाय","ऑटो","auto","hi"
"2606","2018-07-13 19:41:09","ऑडी ने की मोबाइल टर्मिनल टूर 2018 की घोषणा, चौथे साल में कई शहरों में दौरा","ऑटो","auto","hi"
"2612","2018-07-13 17:51:19","अमिताभ बच्चन की इस कार को नहीं मिल रहा कोई खरीददार, जानिए क्या है वजह","ऑटो","auto","hi"
"2616","2018-07-12 18:04:23","वोल्वो एक्ससी40 के नए वेरिएंट से जुड़ी जानकारियां हुईं लीक","ऑटो","auto","hi"
"2620","2018-07-12 17:55:44","कंफर्म: हैरियर नाम से आयेगी टाटा की नई एसयूवी","ऑटो","auto","hi"
"2624","2018-07-12 17:45:45","क्रैश टेस्ट में फेल हुई मेड-इन-इंडिया रेनो क्विड","ऑटो","auto","hi"
"2630","2018-07-12 17:04:18","Confirm: हैरियर नाम से आयेगी टाटा की नई एसयूवी, इन कारों से होगा मुकाबला","ऑटो","auto","hi"
"2636","2018-07-12 16:55:13","क्रैश टेस्ट में फेल हुई मेड-इन-इंडिया रेनो क्विड, आॅल्टो और रेडि-गो से है मुकाबला","ऑटो","auto","hi"
"2642","2018-07-12 16:48:11","आपके बजट में होगी हुंडई की ये लोकप्रिय कार, सितंबर में होगी लॉन्च","ऑटो","auto","hi"
"2644","2018-07-11 18:15:14","Hyundai Santro: भारतीय बाजार में फिर करेगी एंट्री, जानें कब होगी लॉन्च","ऑटो","auto","hi"
"2648","2018-07-11 16:44:41","Honda jazz facelift: 19 जुलाई को हो सकती है भारत में लॉन्च, जानें क्या होंगे बदलाव","ऑटो","auto","hi"
"2657","2018-07-11 16:01:12","हार्ले डेविडसन क्यों है दुनिया भर में बाइक के दीवानों की पसंद, जानें इससे जुड़े कुछ तथ्य","ऑटो","auto","hi"
"2665","2018-07-10 16:14:07","टेस्टिंग के दौरान दिखी 2019 हुंडई एलांट्रा की झलक","ऑटो","auto","hi"
"2673","2018-07-10 15:32:35","1 अगस्त से महंगी हो जाएंगी होंडा की सभी कारें","ऑटो","auto","hi"
"2682","2018-07-10 14:24:39","Mercedes Benz GLE: कंपनी ने पेश किए नए वर्जन के स्केच","ऑटो","auto","hi"
"2688","2018-07-10 14:03:18","जीप रैंग्लर: मिल सकता है 2.2 लीटर डीजल इंजन, कंपनी 3-डोर वर्जन भी कर सकती है लॉन्च","ऑटो","auto","hi"
"2696","2018-07-10 12:46:55","इस नाम से आ सकती है टाटा की नई कॉम्पैक्ट एसयूवी, जानिए फीचर्स","ऑटो","auto","hi"
"2704","2018-07-10 13:00:30","काम की खबर: आज से शुरू होगा मारूति का मानसून सर्विस कैंप","ऑटो","auto","hi"
"2712","2018-07-09 19:07:12","जापानी कार कंपनी निसान मोटर ने दिया प्रदूषण और माइलेज का गलत मानक, शेयर गिरे","ऑटो","auto","hi"
"2720","2018-07-07 17:18:44","मारुति सुजुकी ग्राहकों को दे रही है ये शानदार मानसून सर्विस ऑफर, जानें","ऑटो","auto","hi"
"2772","2018-07-17 10:31:49","FIFA WC 2018: जानें क्यों कहा जा रहा कि फ्रांस को ‘अफ्रीकियों’ ने जिताया विश्व कप?","खेल","sports","hi"
"2777","2018-07-17 07:28:46","FIFA WC 2018: इंग्लैंड ने कोच गैरेथ साउथ गेट को दिया अनोखा सम्मान","खेल","sports","hi"
"2779","2018-07-16 22:47:17","FIFA 2018: दूसरी बार ट्रॉफी जीतने वाली फ्रांस टीम को देश ने दिया खास तोहफा","खेल","sports","hi"
"2789","2018-07-16 18:41:40","VIDEO: जीत से पहले फ्रांस के कप्तान ने की ऐसी बेवकूफी, पूरे स्टेडियम में उड़ा मजाक","खेल","sports","hi"
"2794","2018-07-16 14:24:52","क्रोएशिया की हार के बाद कप्तान को मिला बड़ा अवॉर्ड, जानिए वो क्या बोले","खेल","sports","hi"
"2801","2018-07-16 10:36:03","Fifa WC: फ्रांस से लेकर क्रोएशिया पर हुई 'धन वर्षा', जानें किसके खाते में कितने करोड़ रुपये","खेल","sports","hi"
"2807","2018-07-16 10:58:56","SPORTS NEWS: फीफा विश्व कप की टॉप 10 खबरें पढ़ें सिर्फ एक क्लिक में","खेल","sports","hi"
"2812","2018-07-16 10:37:06","FIFA WC 2018:जानिए क्यों फाइनल मैच के दौरान बीच मैदान में दौड़ने लगी लड़की?","खेल","sports","hi"
"2818","2018-07-16 10:07:43","VIDEO & PICS क्रोएशिया हारा, लेकिन प्रेसिडेंट कोलिंडा ने जीता सबका दिल","खेल","sports","hi"
"2824","2018-07-16 09:24:48","साल 1930 से लेकर 2018 तक, जानें क्या रहा है फीफा विश्व कप का इतिहास","खेल","sports","hi"
"2831","2018-07-16 08:28:14","FIFA WC 2018: फाइनल में क्रोएशिया से रूठ गया था भाग्य, फ्रांस पर था मेहरबान","खेल","sports","hi"
"2836","2018-07-15 23:49:38","FIFA WC 2018: हैरी केन का हुआ गोल्डन बूट, मॉड्रिक के नाम सबसे खास अवॉर्ड","खेल","sports","hi"
"2843","2018-07-16 00:08:11","FIFA WC 2018:देश को दूसरी बार जिताकर फ्रांस के कोच ने रचा ये कीर्तिमान","खेल","sports","hi"
"2848","2018-07-16 01:12:10","वर्ल्ड चैंपियन बनने पर पीएम मोदी ने फ्रांस को दी बधाई, पेरिस से मुंबई तक मनी जीत की खुशी","खेल","sports","hi"
"2855","2018-07-15 22:42:17","FIFA: फ्रांस ने इतिहास दोहराया, क्रोएशिया को 4-2 से रौंदकर दूसरी बार बना वर्ल्ड चैंपियन","खेल","sports","hi"
"2859","2018-07-15 21:36:08","Wimbledon: एंडरसन को हराकर जोकोविक ने जीता 13वां ग्रैंड स्लैम खिताब","खेल","sports","hi"
"2863","2018-07-15 19:47:30","Thailand Open: खिताब जीतने से चूकीं सिंधु, फाइनल में ओकुहारा ने हराया","खेल","sports","hi"
"2868","2018-07-15 18:34:25","FIFA Final: रूसी भालू की चौंकाने वाली भविष्यवाणी, यह टीम जीतेगी वर्ल्ड कप ट्रॉफी","खेल","sports","hi"
"2874","2018-07-15 18:11:44","विंबलडन में हारीं सेरेना विलियम्स, पति ने कहा- मुझे डर था उसकी जान जा सकती है!","खेल","sports","hi"
"2880","2018-07-15 17:43:06","FIFA Final: क्रिकेट से 10 गुना ज्यादा है वर्ल्ड कप विजेता टीम को मिलने वाली ईनामी राशि","खेल","sports","hi"
"2891","2018-07-17 07:55:24","राहत: डीजल और पेट्रोल हो सकता है सस्ता, जानिए क्या है वजह","व्यापार","business","hi"
"2899","2018-07-16 18:28:54","आमजन को मिलेगी राहत, पेट्रोल-डीजल के लगातार बढ़ते दाम पर लगेगी लगाम!","व्यापार","business","hi"
"2903","2018-07-16 18:26:33","बैंकिंग-फॉर्मा शेयरों में बिकवाली से बाजार धड़ाम, सेंसेक्स 217 अंक टूटा","व्यापार","business","hi"
"2906","2018-07-16 16:45:27","ज्वेलरों की लिवाली से सोने की चमक लौटी, चांदी भी हुई महंगी","व्यापार","business","hi"
"2914","2018-07-16 16:34:40","फोक्सवैगन उत्सर्जन घोटाला: NGT ने पूछा प्रदूषण फैलाने वाली 3.23 लाख गाड़ियां सड़कों पर क्यों","व्यापार","business","hi"
"2923","2018-07-16 15:34:42","आईडीबीआई बैंक में 51 फीसदी हिस्सेदारी खरीदी को एलआईसी निदेशक मंडल की मंजूरी","व्यापार","business","hi"
"2931","2018-07-16 14:55:54","ईंधन व सब्जियों के महंगा होने से थोक महंगाई दर मई में बढ़कर 5.77 फीसदी","व्यापार","business","hi"
"2939","2018-07-16 00:22:56","स्विस बैंकों के खातों में भारतीयों के जमा 300 करोड़ रुपये का नहीं मिल रहा कोई दावेदार","व्यापार","business","hi"
"2945","2018-07-15 19:08:17","त्योहारों से पहले अमेजन-फ्लिपकार्ट का तोहफा, खरीद पर मिलेगी बंपर छूट","व्यापार","business","hi"
"2951","2018-07-15 18:21:42","बड़े घाटे के बाद बंपर वसूली की ओर पीएनबी, वसूले 7,700 करोड़","व्यापार","business","hi"
"2957","2018-07-15 17:58:11","मालामाल हुई रिलायंस, सिर्फ एक हफ्ते में 76000 करोड़ रुपये बढ़ी कमाई","व्यापार","business","hi"
"2963","2018-07-15 16:53:26","एफपीआई ने बांड बाजार से निकाले 1,200 करोड़ रुपये","व्यापार","business","hi"
"2973","2018-07-15 16:30:36","विदेशी मुद्रा भंडार सात महीने के सबसे निचले स्तर पर","व्यापार","business","hi"
"2981","2018-07-15 16:01:47","बाजार में अगले महीने तक आ सकते हैं 14,000 करोड़ के आईपीओ","व्यापार","business","hi"
"2989","2018-07-14 23:54:10","GST कानून में हो सकता है व्यापक बदलाव, एक अक्तूबर से TDS भी देना होगा","व्यापार","business","hi"
"2997","2018-07-15 06:51:40","24 घंटे में बदला जा सकेगा मोबाइल ऑपरेटर, ट्राई ला रहा है नियम","व्यापार","business","hi"
"3005","2018-07-14 19:18:45","लगातार तीसरे दिन बढ़े पेट्रोल-डीजल के दाम","व्यापार","business","hi"
"3011","2018-07-14 19:08:58","कंपनी में गड़बड़ी हुई तो ऑडिटर पर होगी कार्रवाई","व्यापार","business","hi"
"3018","2018-07-14 10:11:51","नए नियम से एच1बी वीजा धारकों की बढ़ेंगी मुश्किलें, हो सकता है निष्कासन","व्यापार","business","hi"
"3026","2018-07-14 09:03:07","TIPS: होम लोन ट्रांसफर से पहले चार बातों का रखें ख्याल","व्यापार","business","hi"
"3055","2018-07-16 18:40:55","Flipkart big shopping days: 70 हजार के फोन पर मिल रहा है इतना डिस्काउंट, जानकर हो जाएंगे हैरान!","गैजेट्स","gadgets","hi"
"3058","2018-07-16 18:02:27","नए विंडोज 10 में नोटपैड, एज का उन्नत संस्करण","गैजेट्स","gadgets","hi"
"3062","2018-07-16 17:29:04","गैजेट-ऑटो अपडेट: Huawei P20 Lite पर मिल रहा है इतना डिस्काउंट, जानकर हो जाएंगे हैरान; पढ़ें ऐसी ही अन्य खबरें","गैजेट्स","gadgets","hi"
"3065","2018-07-16 14:54:15","Messages for web : तीन क्लिक से कंप्यूटर स्क्रीन पर पाएं फोन के Text मैसेज","गैजेट्स","gadgets","hi"
"3070","2018-07-16 13:07:41","10,990 रुपये में पाएं फुल व्यू डिस्प्ले और 4230 एमएएच बैटरी वाला Oppo A3s, जानें और खास फीचर","गैजेट्स","gadgets","hi"
"3074","2018-07-16 12:41:05","OnePlus 6 रेड एडिशन की बिक्री शुरू, जानें कहां से खरीदें","गैजेट्स","gadgets","hi"
"3080","2018-07-16 10:46:12","Amazon Prime Day: सेल में धमाकेदार ऑफर, सिर्फ 1 रुपये में मिल रही है 32 इंच की LED TV","गैजेट्स","gadgets","hi"
"3087","2018-07-14 17:28:52","Honor 9i (2018) भारत में 24 जुलाई को हो सकता है लॉन्च","गैजेट्स","gadgets","hi"
"3093","2018-07-14 17:01:21","गैजेट-ऑटो अपडेट: पॉप अप सेल्फी कैमरा वाले Vivo Nex फोन की कीमत लॉन्च से पहले लीक, पढ़ें दिन भर की पांच बड़ी खबरें","गैजेट्स","gadgets","hi"
"3098","2018-07-14 15:59:13","Vivo Nex: पॉप अप सेल्फी कैमरा वाले इस फोन की कीमत लॉन्च से पहले लीक","गैजेट्स","gadgets","hi"
"3100","2018-07-13 22:41:53","यहां Pixel 2 पर मिलेगा इतना डिस्काउंट, जानकर हो जाएंगे हैरान!","गैजेट्स","gadgets","hi"
"3104","2018-07-13 21:40:42","Wi-Fi का कम यूज करते हैं Jio यूजर्स, इस कंपनी के यूजर्स बिताते हैं ज्यादा समय","गैजेट्स","gadgets","hi"
"3108","2018-07-13 22:02:00","Samsung के इस फोन पर धमाकेदार ऑफर, मिलेगी 10 हजार रुपये की छूट","गैजेट्स","gadgets","hi"
"3114","2018-07-05 12:57:02","Reliance ने उतारा धमाकेदार प्लान, सिर्फ 501 रुपये में ऐसे मिलेगा नया JioPhone","गैजेट्स","gadgets","hi"
"3122","2018-07-13 18:06:28","Oppo A3s भारत में हुआ लॉन्च, 10990 रुपये में 4230 mAh की है बैटरी","गैजेट्स","gadgets","hi"
"3130","2018-07-13 17:53:40","Apple ने 30 करोड़ डॉलर का स्वच्छ ऊर्जा फंड चीन में किया लॉन्च","गैजेट्स","gadgets","hi"
"3138","2018-07-13 17:19:42","गैजेट-ऑटो अपडेट: केवल 39 रुपये में करें अनलिमिटेड कॉलिंग और भी बहुत कुछ, पढ़ें ऐसी ही अन्‍य खबरें","गैजेट्स","gadgets","hi"
"3180","2018-07-17 09:12:32","SBI PO Mains परीक्षा 4 अगस्त को, 20 जुलाई तक जारी हो जाएगा प्रवेश पत्र","एजुकेशन","education","hi"
"3184","2018-07-17 09:43:48","कोच्चि में 128 पद भरे जाएंगे नेवल शिप रिपेयर यार्ड","एजुकेशन","education","hi"
"3189","2018-07-17 09:15:47","यूपी बोर्ड: 10वीं-12वीं के छात्र-छात्राओं का रजिस्ट्रेशन शुरू","एजुकेशन","education","hi"
"3201","2018-07-17 07:04:28","राजस्थान  पुलिस कांस्टेबल भर्ती परीक्षा में फर्जी परीक्षार्थी बैठाने वाले गिरोह का पर्दाफाश","एजुकेशन","education","hi"
"3208","2018-07-17 07:20:11","खुशखबरी: यूपी में डीएड विशेष शिक्षा और बीएलएड को शिक्षक भर्ती में मौका","एजुकेशन","education","hi"
"3216","2018-07-17 07:11:27","नई व्यवस्था: डीएड विशेष शिक्षा और बीएलएड को शिक्षक भर्ती में मौका","एजुकेशन","education","hi"
"3225","2018-07-16 20:46:18","JEE Main 2019: शेड्यूल हुआ जारी, जनवरी और अप्रैल में होगी परीक्षा","एजुकेशन","education","hi"
"3233","2018-07-16 12:25:06","SBI PO prelims Result 2018 के ऐलान से पहले sbi.co.in/careers पर आवेदकों को किया गया आगाह","एजुकेशन","education","hi"
"3241","2018-07-16 20:00:03","साउथ इंडियन बैंक ने PO Result 2018 जारी किया, Southindianbank.in पर करें चेक","एजुकेशन","education","hi"
"3254","2018-07-16 19:36:38","हैशलर्न की JEE Mains, NEET की परीक्षाओं के लिए फ्री वीडियो कक्षाएं","एजुकेशन","education","hi"
"3260","2018-07-16 17:17:43","NEET 2018: मद्रास हाईकोर्ट के 196 ग्रेस मार्क्स देने के फैसले के खिलाफ सुप्रीम कोर्ट पहुंची CBSE","एजुकेशन","education","hi"
"3267","2018-07-16 16:43:46","उत्तर प्रदेश: जल्द जारी होगा असिस्टेंट प्रोफेसर भर्ती का नया विज्ञापन","एजुकेशन","education","hi"
"3275","2018-07-16 14:19:24","राजस्थान पुलिस कांस्टेबल परीक्षा 2018: जानिए कब आएंगे नतीजे","एजुकेशन","education","hi"
"3283","2018-07-16 14:42:33","SBI Clerk Prelims Result 2018: इस सप्ताह Sbi.co.in/careers पर आ सकते हैं नतीजे, यूं कर सकेंगे चेक","एजुकेशन","education","hi"
"3291","2018-07-16 13:11:09","West Bengal Police recruitment 2018: पश्चिम बंगाल एसआई पुलिस भर्ती परीक्षा के एडमिट कार्ड आज होंगे जारी, डाउनलोड कर सकेंगे www.policeweb.gov.in","एजुकेशन","education","hi"
"3304","2018-07-16 15:24:45","वैज्ञानिकों ने धूल का लबादा ओढ़े तारों के झुंड की तस्वीरें लीं","विज्ञान","science","hi"
"3308","2018-07-15 14:17:38","...अब सरकार लेकर आ रही &'श्रीमान&' नीति, जानिए क्‍या है ये प्रोजेक्‍ट?","विज्ञान","science","hi"
"3314","2018-07-15 12:37:50","आपके कान में भी है छेद तो यह जान लीजिए, चौंकाने वाला हुआ खुलासा","विज्ञान","science","hi"
"3321","2018-07-08 21:02:40","गाड़ी चलाते समय ड्राइवरों को क्यों आती है नींद? वजह जानकर हो जाएंगे हैरान","विज्ञान","science","hi"
"3329","2018-07-17 12:03:34","अमेरिका के खिलाफ साजिश रचने के आरोप में रूसी नागरिक गिरफ्तार","दुनिया","world","hi"
"3334","2018-07-17 10:15:38","नाटो का दावा, तालिबान के साथ सीधी वार्ता के लिए तैयार नहीं है अमेरिका","दुनिया","world","hi"
"3340","2018-07-17 10:11:52","अमेरिका और रूस के संबंधों पर बोले पुतिन, &'मूलर की जांच की मोहताज नहीं दोस्ती&'","दुनिया","world","hi"
"3347","2018-07-16 23:44:58","ZEE जानकारीः पाकिस्तान की एक Positive News","दुनिया","world","hi"
"3353","2018-07-16 23:42:00","नवाज शरीफ ने सर्मथकों से की भावुक अपील- मैं जेल में हूं, मेरी बीमार पत्नी के लिए दुआ करें","दुनिया","world","hi"
"3356","2018-07-16 23:09:04","ट्रंप ने पुतिन से मिलाया हाथ, कहा- पूर्वजों की &'बेवकूफी&' की वजह से रिश्ते थे खराब","दुनिया","world","hi"
"3362","2018-07-16 22:31:42","पाकिस्तान सरकार ने किया दावा- हमने आतंकियों की कमर तोड़ दी, बिलावल भुट्टो ने कहा- नहीं","दुनिया","world","hi"
"3367","2018-07-16 17:59:48","फिनलैंड में मिले ट्रंप और पुतिन, कहा- &'हमारे पास काम करने के बड़े अवसर हैं&'","दुनिया","world","hi"
"3371","2018-07-16 17:46:41","पाकिस्तान: सजा के खिलाफ शरीफ परिवार ने दायर की अपील, अदालत से रिहाई की मांग भी की","दुनिया","world","hi"
"3375","2018-07-16 17:22:57","आजादी के आंदोलन में &'गदर&' मचाने वाली &'पार्टी&' के किस्से पढ़ेंगे अमेरिकी बच्चे","दुनिया","world","hi"
"3380","2018-07-16 16:51:22","चीन की पुलिस ने सड़क पर ही काट दिए मुस्लिम महिलाओं के कपड़े, ये थी वजह","दुनिया","world","hi"
"3384","2018-07-16 16:41:21","थाईलैंड गुफा: &'जिंदगी और मौत&' के बीच इन गोताखोरों को मिली थी विशेष छूट, रिपोर्ट में खुलासा","दुनिया","world","hi"
"3388","2018-07-16 16:04:29","अमेरिका में अवैध रूप से घुसे भारतीयों से &'दुर्दांत अपराधियों&' जैसा व्यवहार, सिखों की पगड़ी भी छीनी","दुनिया","world","hi"
"3394","2018-07-16 15:46:41","पाकिस्तान : चुनावी रैली विस्फोट में मृतकों की संख्या बढ़कर 149 हुई","दुनिया","world","hi"
"3400","2018-07-16 15:37:36","1 व्‍यक्ति की हुई मौत, गुस्साई भीड़ ने मार डाले 300 मगरमच्छ","दुनिया","world","hi"
"3406","2018-07-16 19:01:26","भारत को समंदर में घेरने की तैयारी में चीन-पाकिस्तान, ऐसे चल दी &'चतुर चाल&'","दुनिया","world","hi"
"3412","2018-07-16 14:52:17","भारत के खिलाफ पाकिस्तान की मदद कर रहा चीन, पाक नौसेना को देगा 8 नई पनडुब्बियां","दुनिया","world","hi"
"3417","2018-07-16 14:00:26","पाकिस्तान चुनाव: बुरे दौर से गुजर रही PML-N को मिला पूर्व राष्ट्रपति का सहारा, जानें क्या है पूरा मामला","दुनिया","world","hi"
"3420","2018-07-16 11:15:57","इंटरनेट पर वायरल हो रहा इस नींबू का वीडियो, जानिए क्या खास बात है इसमें","दुनिया","world","hi"
"3424","2018-07-16 10:12:07","क्रोएशिया के राष्ट्रपति ने कराया ट्रंप और पुतिन को जिम्मेदारी का अहसास","दुनिया","world","hi"
"3449","2018-07-17 12:57:00","Railway में ग्रुप D के 63 हजार पदों के लिए ये होगा एग्जाम पैटर्न, जानना है जरूरी","व्यापार","business","hi"
"3451","2018-07-17 12:53:28","पूरी तरह बंद हुआ Yahoo Messenger, अब नए रूप में आएगा मैसेंजर, शिफ्ट होंगे यूजर्स","व्यापार","business","hi"
"3454","2018-07-17 11:10:06","SBI PO Result 2018 : SBI पीओ प्रीलिम्स परीक्षा का रिजल्ट जारी, sbi.co.in पर चेक करें","व्यापार","business","hi"
"3457","2018-07-17 10:20:53","बाजार की मजबूत शुरुआत, सेंसेक्स ने लगाया शतक, निफ्टी में भी अच्छी तेजी","व्यापार","business","hi"
"3461","2018-07-17 10:13:16","तेल की ऊंची कीमतों से भारत को तगड़ा झटका, IMF ने घटाया GDP ग्रोथ अनुमान","व्यापार","business","hi"
"3463","2018-07-17 00:25:38","ग्राहकों से जुड़ी जानकारी पर उन्हीं का अधिकार हो, कंपनियां केवल संरक्षक: ट्राई","व्यापार","business","hi"
"3466","2018-07-16 20:58:45","अगले साल भी कम रहेंगे चीनी के दाम, 350-355 लाख टन होगा चीनी का उत्पादन","व्यापार","business","hi"
"3469","2018-07-16 20:11:20","Jaguar ने नए पेट्रोल इंजन के साथ लॉन्च की F-TYPE स्पोर्ट्स कार","व्यापार","business","hi"
"3471","2018-07-16 16:45:29","चीन की अर्थव्यवस्था दूसरी तिमाही में धीमी पड़ी, अमेरिका से ट्रेड वॉर का असर","व्यापार","business","hi"
"3474","2018-07-16 20:19:25","NGT ने फॉक्सवैगन से कारें वापस नहीं बुलाने पर मांगी सफाई, कार्रवाई की दी चेतावनी","व्यापार","business","hi"
"3478","2018-07-16 16:30:45","महंगा हुआ सोना, चांदी के भी बढ़े दाम, जानिए क्या रहा आज का भाव","व्यापार","business","hi"
"3481","2018-07-16 15:31:39","अमेरिका में नहीं है मेहुल चोकसी, रेड कॉर्नर नोटिस जारी होने से पहले ही फरार: इंटरपोल","व्यापार","business","hi"
"3483","2018-07-16 14:46:37","अमेरिका से निकाले जाएंगे भारतीय! ट्रंप के इस आदेश के बाद बढ़ा &'खतरा&'","व्यापार","business","hi"
"3486","2018-07-16 14:13:08","साढ़े 4 साल के रिकॉर्ड स्तर पर महंगाई, आलू-प्याज से खाने-पीने तक सभी के दाम बढ़े","व्यापार","business","hi"
"3489","2018-07-16 16:46:29","Amazon की 36 घंटे के लिए &'प्राइम सेल&', फ्री में Oneplus 6 जीतने का मौका और भी बहुत कुछ","व्यापार","business","hi"
"3493","2018-07-16 09:56:27","धीमी शुरुआत के बाद शेयर बाजार में रिकवरी, सेंसेक्स और निफ्टी 20 अंक नीचे","व्यापार","business","hi"
"3494","2018-07-16 09:45:24","6 भारतीयों का स्विस बैंक के खातों में 300 करोड़, ये हैं इनके नाम, नहीं है कोई लेना वाला","व्यापार","business","hi"
"3496","2018-07-16 09:16:43","फिर सस्ता हुआ पेट्रोल-डीजल, 11 दिन दाम बढ़ाने के बाद घटाई गई कीमतें","व्यापार","business","hi"
"3498","2018-07-16 07:01:17","कौन जीतेगा बादशाहत की ये अनोखी &'जंग&', अंबानी या टाटा? यहां जानिए","व्यापार","business","hi"
"3500","2018-07-15 15:30:09","ट्रेन में AC सफर करना होगा महंगा, रेलवे करने जा रहा है बड़ा बदलाव","व्यापार","business","hi"
"3506","2018-07-17 12:55:42","मप्र: प्रदेश के विदिशा में 14 महीने की बच्‍ची से रेप, POCSO एक्‍ट में आरोपी गिरफ्तार","भारत","india","hi"
"3509","2018-07-17 12:41:01","राष्‍ट्रवाद, अनुशासन का पाठ पढ़ाने के लिए सरकार हर साल 10 लाख युवाओं को देगी मिलिट्री ट्रेनिंग!","भारत","india","hi"
"3511","2018-07-17 12:34:35","गठबंधन की इस मजबूरी के चलते मायावती ने अपने नेताओं को चुप रहने को कहा ?","भारत","india","hi"
"3514","2018-07-17 12:06:08","बसपा नेता के बोल- 'गाय तुम्हारी माता होगी, हमारी नहीं हो सकती'","भारत","india","hi"
"3517","2018-07-17 12:04:13","भोपाल: तेज बारिश के बीच कॉम्‍लेक्‍स में लगी आग, फायर बिग्रेड के छूटे पसीने","भारत","india","hi"
"3520","2018-07-17 11:43:13","गोरक्षा के नाम पर हिंसा : 'कोई भी नागरिक कानून अपने हाथ में नहीं ले सकता'- SC,10 अहम बातें","भारत","india","hi"
"3523","2018-07-17 11:33:38","बुलेट ट्रेन पर अरबों रुपए खर्च करने की तैयारी, दूध किसानों को सब्सिडी तक नहीं: शिवसेना","भारत","india","hi"
"3526","2018-07-17 11:30:45","भोपाल: प्रदेश में मानसून का कहर जारी, इन शहरों में भारी बारिश का अलर्ट","भारत","india","hi"
"3528","2018-07-17 11:25:46","क्या पिता को दरकिनार कर 'बुआ' को पीएम कुर्सी तक पहुंचाएंगे अखिलेश यादव?","भारत","india","hi"
"3529","2018-07-17 11:16:04","राहुल गांधी पर बयान पड़ा महंगा, मायावती ने अपने नेशनल कॉर्डिनेटर को पद से हटाया","भारत","india","hi"
"3531","2018-07-17 11:06:49","गठबंधन में गांठ: BSP ने कांग्रेस के सामने रखी अनोखी शर्त, Congress की बढ़ी मुश्किलें","भारत","india","hi"
"3533","2018-07-17 10:42:47","रेल यात्री ध्यान दें, पंजाब की ओर जाने वाली 100 से अधिक गाड़ियां प्रभावित","भारत","india","hi"
"3535","2018-07-17 10:34:49","मॉब लिन्चिंग पर सुप्रीम कोर्ट का बड़ा आदेश, केंद्र और राज्य सरकारें कानून बनाएं","भारत","india","hi"
"3537","2018-07-17 10:10:34","पनामा पेपर्स: 1140 करोड़ रुपए की अघोषित संपत्ति मिली, 16 भारतीयों पर मुकदमा दर्ज","भारत","india","hi"
"3539","2018-07-17 10:01:19","MP: शिवराज की जन आशीर्वाद यात्रा के जवाब में कांग्रेस का 'पोल खोल' अभियान","भारत","india","hi"
"3543","2018-07-17 09:41:58","MP: महिला ने बस में दिया बच्‍चे को जन्‍म, नवजात स्‍वस्‍थ, मां की हालत गंभीर","भारत","india","hi"
"3545","2018-07-17 09:26:27","अलर्ट: आज इन राज्यों में हो सकती है भारी बारिश, मौसम विभाग ने जारी की चेतावनी","भारत","india","hi"
"3547","2018-07-17 09:21:00","छत्‍तीसगढ़: सिरफिरे आशिक ने प्रेमिका पर किया हमला, खुद का भी रेता गला","भारत","india","hi"
"3550","2018-07-17 09:20:01","VIDEO : मुंबई की सड़कों पर गड्ढों से गुस्‍साए MNS कार्यकर्ता, मंत्रालय के सामने का फुटपाथ तोड़ डाला","भारत","india","hi"
"3553","2018-07-17 09:14:30","कहीं आपके शहर का नाम तो नहीं बदलने वाला!","भारत","india","hi"
"3558","2018-07-17 13:04:19","कमाई के मामले में अक्षय कुमार ने दी सलमान खान को पटखनी, Forbes की लिस्‍ट से शाहरुख हुए बाहर","मनोरंजन","entertainment","hi"
"3560","2018-07-17 12:40:07","बोल्ड तस्वीरों पर फिर से ट्रोल हुईं हिना खान, यूजर ने पूछा- तुम मुस्लिम ही हो ना...","मनोरंजन","entertainment","hi"
"3562","2018-07-17 12:36:56","वरुण धवन व अनुष्का शर्मा की फिल्म सुई धागा का ट्रेलर अगस्त में रिलीज होगा","मनोरंजन","entertainment","hi"
"3564","2018-07-17 12:03:16","जूही परमार से तलाक के बाद तोड़ी पति ने चुप्‍पी, &'उसे मुझसे कभी प्‍यार नहीं था...&'","मनोरंजन","entertainment","hi"
